config,cycles,marked_return,open_position
"{""distances"": [1], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",6284,0.864896957,True
"{""distances"": [2], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",197,0.03448162,True
"{""distances"": [2], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",197,0.03448162,True
"{""distances"": [3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",64,0.015915491,True
"{""distances"": [3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",64,0.015915491,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",6284,0.864896957,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",6284,0.864896957,True
"{""distances"": [1], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",7283,1.060927507,True
"{""distances"": [1], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",7283,1.060927507,True
"{""distances"": [2], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",176,0.030139211,True
"{""distances"": [2], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",176,0.030139211,True
"{""distances"": [3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",62,0.015306153,True
"{""distances"": [3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",62,0.015306153,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",7283,1.060927507,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",7283,1.060927507,True
"{""distances"": [1], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY""}",7922,1.201576903,True
"{""distances"": [1], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY_MARGIN""}",7922,1.201576903,True
"{""distances"": [2], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY""}",343,0.06906222,True
"{""distances"": [2], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY_MARGIN""}",343,0.06906222,True
"{""distances"": [3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY""}",60,0.015817254,True
"{""distances"": [3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY_MARGIN""}",60,0.015817254,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY""}",7847,1.187585079,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY_MARGIN""}",7772,1.173199662,True
"{""distances"": [1], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY""}",7245,1.057361659,True
"{""distances"": [1], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY_MARGIN""}",7245,1.057361659,True
"{""distances"": [2], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY""}",293,0.058434104,True
"{""distances"": [2], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY_MARGIN""}",293,0.058434104,True
"{""distances"": [3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY""}",16,-0.00059412,True
"{""distances"": [3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY_MARGIN""}",16,-0.00059412,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY""}",7242,1.056744646,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY_MARGIN""}",7215,1.052432296,True
"{""distances"": [1], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY""}",8553,1.345212174,True
"{""distances"": [1], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY_MARGIN""}",8553,1.345212174,True
"{""distances"": [2], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY""}",264,0.051274654,True
"{""distances"": [2], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY_MARGIN""}",264,0.051274654,True
"{""distances"": [3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY""}",19,0.00030507,True
"{""distances"": [3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY_MARGIN""}",19,0.00030507,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY""}",8448,1.322112734,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY_MARGIN""}",8278,1.284768082,True
"{""distances"": [1], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY""}",8323,1.292571044,True
"{""distances"": [1], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY_MARGIN""}",8323,1.292571044,True
"{""distances"": [2], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY""}",264,0.05118175,True
"{""distances"": [2], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY_MARGIN""}",264,0.05118175,True
"{""distances"": [3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY""}",8,-0.002986824,True
"{""distances"": [3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY_MARGIN""}",8,-0.002986824,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY""}",8209,1.268175149,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY_MARGIN""}",7953,1.214990784,True
"{""distances"": [1], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",6512,0.91190988,True
"{""distances"": [1], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",6512,0.91190988,True
"{""distances"": [2], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",431,0.088043328,True
"{""distances"": [2], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",431,0.088043328,True
"{""distances"": [3], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",67,0.017336426,True
"{""distances"": [3], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",67,0.017336426,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",6512,0.91190988,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",6417,0.896727992,True
"{""distances"": [1], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",6344,0.880036273,True
"{""distances"": [1], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",6344,0.880036273,True
"{""distances"": [2], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",412,0.083916684,True
"{""distances"": [2], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",412,0.083916684,True
"{""distances"": [3], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",63,0.016116267,True
"{""distances"": [3], ""lookback_minutes"": 240, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",63,0.016116267,True
